stem,source,split,has_debris
H11833_000104,f6,train,1
E4_TGT011_2_04,f6,train,1
H11833_000123,f6,train,1
E3_H11833_TGT003_0006,f6,train,1
E3_H11833_TGT015_0008,f6,train,1
H11833_000121,f6,train,1
E4_TGT007_2_03,f6,train,1
E4_TGT001_1_09,f6,train,1
E3_H11833_TGT010_0018,f6,train,1
E4_TGT017_2_03,f6,train,1
E3_H11833_TGT017_0005,f6,train,1
E4_TGT016_2_01,f6,train,1
E3_H11833_TGT006_0013,f6,train,1
E3_H11833_TGT002_0007,f6,train,1
E4_TGT013_1_06,f6,train,1
E3_H11833_TGT010_0007,f6,train,1
E3_H11833_TGT015_0007,f6,train,1
E3_H11833_TGT017_0009,f6,train,1
E3_H11833_TGT017_0011,f6,train,1
E4_TGT004_1_06,f6,train,1
H11833_000057,f6,train,1
E3_H11833_TGT005_0002,f6,train,1
E3_H11833_TGT007_0014,f6,train,1
E4_TGT009_2_02,f6,train,1
E4_TGT006_1_01,f6,train,1
E3_H11833_TGT010_0005,f6,train,1
E3_H11833_TGT013_0011,f6,train,1
H11833_000035,f6,train,1
E3_H11833_TGT013_0017,f6,train,1
E3_H11833_TGT001_0013,f6,train,1
E3_H11833_TGT011_0016,f6,train,1
E4_TGT004_2_04,f6,train,1
E4_TGT004_2_03,f6,train,1
E4_TGT008_2_04,f6,train,1
E3_H11833_TGT003_0007,f6,train,1
H11833_000119,f6,train,1
E4_TGT008_2_06,f6,train,1
E4_TGT001_1_02,f6,train,1
E3_H11833_TGT017_0007,f6,train,1
E4_TGT010_1_06,f6,train,1
E4_TGT001_1_06,f6,train,1
E4_TGT010_1_07,f6,train,1
E4_TGT001_1_08,f6,train,1
E3_H11833_TGT006_0004,f6,train,1
E3_H11833_TGT013_0004,f6,train,1
E3_H11833_TGT016_0004,f6,train,1
E3_H11833_TGT001_0011,f6,train,1
E4_TGT007_1_01,f6,train,1
H11833_000046,f6,train,1
E4_TGT001_1_05,f6,train,1
E3_H11833_TGT015_0014,f6,train,1
E3_H11833_TGT012_0004,f6,train,1
E4_TGT007_2_06,f6,train,1
H11833_000078,f6,train,1
E3_H11833_TGT001_0010,f6,train,1
H11833_000115,f6,train,1
E3_H11833_TGT006_0009,f6,train,1
H11833_000011,f6,train,1
E4_TGT012_1_05,f6,train,1
H11833_000122,f6,train,1
E4_TGT017_2_08,f6,train,1
E4_TGT011_1_04,f6,train,1
E3_H11833_TGT007_0018,f6,train,1
E4_TGT004_1_08,f6,train,1
E4_TGT006_2_01,f6,train,1
E4_TGT007_1_08,f6,train,1
E4_TGT016_2_09,f6,train,1
E3_H11833_TGT005_0008,f6,train,1
E4_TGT002_1_08,f6,train,1
E3_H11833_TGT011_0001,f6,train,1
H11833_000015,f6,train,1
E4_TGT015_1_06,f6,train,1
E3_H11833_TGT014_0011,f6,train,1
H11833_000053,f6,train,1
E3_H11833_TGT004_0016,f6,train,1
H11833_000013,f6,train,1
H11833_000025,f6,train,1
E3_H11833_TGT010_0001,f6,train,1
E3_H11833_TGT006_0007,f6,train,1
E4_TGT007_2_04,f6,train,1
E4_TGT006_2_08,f6,train,1
E4_TGT015_1_09,f6,train,1
E3_H11833_TGT015_0001,f6,train,1
E3_H11833_TGT011_0011,f6,train,1
H11833_000041,f6,train,1
E3_H11833_TGT016_0003,f6,train,1
E3_H11833_TGT017_0008,f6,train,1
E4_TGT004_1_03,f6,train,1
E4_TGT012_2_01,f6,train,1
H11833_000113,f6,train,1
E4_TGT013_2_01,f6,train,1
E3_H11833_TGT001_0014,f6,train,1
E3_H11833_TGT007_0011,f6,train,1
E4_TGT014_1_04,f6,train,1
H11833_000058,f6,train,1
H11833_000009,f6,train,1
E3_H11833_TGT007_0006,f6,train,1
E4_TGT004_1_02,f6,train,1
E4_TGT001_2_06,f6,train,1
E4_TGT017_1_05,f6,train,1
E4_TGT016_1_06,f6,train,1
E3_H11833_TGT006_0003,f6,train,1
E4_TGT007_1_09,f6,train,1
E3_H11833_TGT014_0014,f6,train,1
E4_TGT013_1_07,f6,train,1
E3_H11833_TGT009_0007,f6,train,1
E4_TGT001_1_03,f6,train,1
E3_H11833_TGT002_0004,f6,train,1
E3_H11833_TGT004_0011,f6,train,1
E3_H11833_TGT004_0003,f6,train,1
H11833_000110,f6,train,1
E3_H11833_TGT016_0007,f6,train,1
E3_H11833_TGT003_0010,f6,train,1
E3_H11833_TGT015_0005,f6,train,1
E3_H11833_TGT012_0009,f6,train,1
H11833_000021,f6,train,1
E3_H11833_TGT001_0004,f6,train,1
H11833_000038,f6,train,1
E3_H11833_TGT016_0010,f6,train,1
E3_H11833_TGT017_0003,f6,train,1
E4_TGT008_2_01,f6,train,1
E4_TGT015_2_05,f6,train,1
E3_H11833_TGT016_0017,f6,train,1
E3_H11833_TGT015_0010,f6,train,1
E4_TGT014_2_08,f6,train,1
E3_H11833_TGT010_0012,f6,train,1
E3_H11833_TGT015_0012,f6,train,1
E4_TGT017_1_04,f6,train,1
H11833_000033,f6,train,1
E3_H11833_TGT002_0011,f6,train,1
H11833_000062,f6,train,1
E4_TGT014_1_01,f6,train,1
H11833_000028,f6,train,1
E4_TGT005_1_09,f6,train,1
E3_H11833_TGT010_0011,f6,train,1
E4_TGT002_2_03,f6,train,1
H11833_000124,f6,train,1
E4_TGT017_2_06,f6,train,1
E4_TGT016_1_03,f6,train,1
E4_TGT004_2_09,f6,train,1
E4_TGT001_2_05,f6,train,1
E3_H11833_TGT002_0005,f6,train,1
E3_H11833_TGT004_0006,f6,train,1
E4_TGT010_2_07,f6,train,1
H11833_000052,f6,train,1
E4_TGT005_2_01,f6,train,1
E4_TGT002_1_06,f6,train,1
E3_H11833_TGT007_0009,f6,train,1
E3_H11833_TGT016_0015,f6,train,1
E3_H11833_TGT002_0018,f6,train,1
E3_H11833_TGT017_0010,f6,train,1
E3_H11833_TGT010_0006,f6,train,1
E3_H11833_TGT016_0009,f6,train,1
E3_H11833_TGT008_0006,f6,train,1
E3_H11833_TGT017_0018,f6,train,1
H11833_000091,f6,train,1
E4_TGT017_2_09,f6,train,1
E3_H11833_TGT014_0016,f6,train,1
E3_H11833_TGT015_0006,f6,train,1
H11833_000085,f6,train,1
E3_H11833_TGT012_0016,f6,train,1
E4_TGT007_2_07,f6,train,1
E4_TGT016_1_08,f6,train,1
E4_TGT004_2_02,f6,train,1
H11833_000088,f6,train,1
E4_TGT002_1_07,f6,train,1
E3_H11833_TGT013_0015,f6,train,1
E4_TGT003_1_03,f6,train,1
H11833_000060,f6,train,1
E4_TGT016_2_03,f6,train,1
E4_TGT013_2_06,f6,train,1
E3_H11833_TGT017_0014,f6,train,1
E3_H11833_TGT017_0002,f6,train,1
H11833_000097,f6,train,1
E3_H11833_TGT015_0015,f6,train,1
E3_H11833_TGT006_0014,f6,train,1
E3_H11833_TGT010_0014,f6,train,1
E4_TGT015_1_02,f6,train,1
E3_H11833_TGT002_0002,f6,train,1
E3_H11833_TGT001_0008,f6,train,1
E4_TGT010_2_03,f6,train,1
E4_TGT006_2_02,f6,train,1
E3_H11833_TGT017_0004,f6,train,1
E3_H11833_TGT001_0015,f6,train,1
E4_TGT008_2_09,f6,train,1
E3_H11833_TGT012_0003,f6,train,1
E4_TGT007_1_03,f6,train,1
H11833_000112,f6,train,1
E4_TGT005_2_09,f6,train,1
E4_TGT012_1_02,f6,train,1
E4_TGT003_1_05,f6,train,1
E4_TGT012_1_06,f6,train,1
E4_TGT007_2_08,f6,train,1
E4_TGT011_1_03,f6,train,1
E4_TGT010_2_08,f6,train,1
E4_TGT003_2_01,f6,train,1
E3_H11833_TGT013_0005,f6,train,1
E3_H11833_TGT003_0009,f6,train,1
E4_TGT001_1_04,f6,train,1
E4_TGT016_2_07,f6,train,1
E3_H11833_TGT011_0008,f6,train,1
H11833_000030,f6,train,1
E4_TGT002_2_07,f6,train,1
H11833_000098,f6,train,1
E3_H11833_TGT011_0003,f6,train,1
H11833_000076,f6,train,1
E4_TGT016_2_02,f6,train,1
E3_H11833_TGT015_0017,f6,train,1
E3_H11833_TGT004_0015,f6,train,1
E4_TGT011_1_05,f6,train,1
E4_TGT004_1_07,f6,train,1
E4_TGT014_1_08,f6,train,1
E4_TGT003_1_04,f6,train,1
H11833_000001,f6,train,1
E3_H11833_TGT015_0003,f6,train,1
E3_H11833_TGT012_0013,f6,train,1
E4_TGT016_2_06,f6,train,1
E3_H11833_TGT011_0002,f6,train,1
E4_TGT008_2_08,f6,train,1
E4_TGT010_1_09,f6,train,1
E3_H11833_TGT010_0013,f6,train,1
E3_H11833_TGT007_0001,f6,train,1
H11833_000079,f6,train,1
E4_TGT011_1_02,f6,train,1
E3_H11833_TGT002_0014,f6,train,1
E3_H11833_TGT008_0008,f6,train,1
E3_H11833_TGT010_0017,f6,train,1
E3_H11833_TGT016_0013,f6,train,1
E4_TGT007_2_01,f6,train,1
E4_TGT005_1_05,f6,train,1
H11833_000071,f6,train,1
