image,dataset,issue_type,severity,action_taken
datasets/kaggle_sss/text/images/000012_jpg.rf.b76b3c145d081a2a8ae2601c202bdc84.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000028_jpg.rf.eddca58099464d1ee753acd002c8cb70.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000031_jpg.rf.04130b24c79ed59da7be6300386f6c9c .jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000075_jpg.rf.d07e61a42c41760082eb270b5744e494.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000085_jpg.rf.5d69d48feadc7c179cb10c6e80715325.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000092_jpg.rf.37ce5aa85429cc82420216377669c7b2.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000094_jpg.rf.2a5f78e3d6769c1102fc77f8fd58e307.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000102_jpg.rf.e71810055d3fab04fd781f10be4bdce9.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000108_jpg.rf.360a4e0d0f93c670b34afdf858529a9f.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000110_jpg.rf.10be496f58391bfa58c63de1a0e42893.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000115_jpg.rf.3f739e8efcded87925d619fdcc8ea59e.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000142_jpg.rf.fdee7fab2285d5a4f285d3f77523eba2.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000151_jpg.rf.357e8d29dc5d2e6fbf60095a6181aa76.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000177_jpg.rf.f0458623e6acfc7afe7799edc261f94a.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000187_jpg.rf.51e368360f47c3bb8a7fb60ba592404d.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000188_jpg.rf.65449d34bc1902850758c783b3a61b66.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000216_jpg.rf.08f7474e93852af28a2f38fbdbd4a401.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000226_jpg.rf.5bb9d7223f1e9b658d10a4a3ff3fc024.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000235_jpg.rf.0437fd120925f5eb7c13b2508b7b1189.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000236_jpg.rf.20a020ff6b1016442668f289e9dac099.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000240_jpg.rf.f22e95fd245f1a7ec0f5637e34b298fa.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000245_jpg.rf.8b435b49b0a7df52d9b6312c39c221f8.jpg,KAGGLE,missing_label,high,logged
datasets/kaggle_sss/text/images/000256_jpg.rf.fcd2c4360185fb75279517ff6fb5b63a.jpg,KAGGLE,missing_label,high,logged
